TranscriptionFactor,TargetGene,ModeOfRegulation,PMID
EGR1,TNF,Activation,10913190;14767560
EGR2,IGF2,Unknown,9610618
EGR2,IL6,Unknown,24007274
EP300,ABCB1,Unknown,22154511
EP300,GFAP,Activation,20414733
EP300,IL6,Unknown,19966855
ERG,HMOX1,Unknown,10022513
ESR1,NQO1,Repression,20623181
ESR2,INSR,Repression,22099628
ETS1,ABCB1,Activation,20392592
ETS1,HMOX1,Unknown,10022513
ETV4,GBA,Unknown,9272862
ETV4,TNF,Unknown,7896795
FLI1,HMOX1,Unknown,10022513
FOS,GSTP1,Unknown,8206948
FOS,NGF,Unknown,2111020
FOS,NQO1,Unknown,8004128
FOXA1,HSPA1A,Activation,19486887
FOXM1,FGB,Repression,15737987
FOXO1,EDN1,Unknown,19887561
FOXO1,IL6,Activation,21185807
FOXO4,SOD2,Activation,21536589
FOXP2,CNTNAP2,Repression,18987364
FOXP2,CNTNAP2,Unknown,19582487
GATA1,HBG1,Unknown,12609092;16200778;2336386
GBX2,IL6,Activation,10690529
GLIS3,INS,Unknown,23856252
HDAC1,ABCB1,Repression,19435809;20037778
HDAC1,HLA-DRA,Repression,11533238
HDAC1,ABCB1,Unknown,20037778
HDAC11,TNF,Repression,21239696
HDAC3,TNF,Unknown,15356147
HDAC5,IGF2,Unknown,19666599
HES1,MAP2,Repression,19880519
HIF1A,ABCB1,Repression,12067980
HIF1A,EDN1,Activation,19783678
HIPK2,ABCB1,Unknown,20646448
HMGA1,IL1B,Unknown,15901130
HMGA1,INSR,Activation,16707431
HMGA1,INSR,Repression,17434141
HMGB2,TNF,Activation,18218727
HNF4A,CYP2D6,Activation,11752221
HNF4G,CYP2D6,Activation,11752221
HOXA4,TH,Unknown,12670698
HOXA5,TH,Unknown,12670698
HSF1,ABCB1,Unknown,10816597
HSF1,HSPA1A,Unknown,17897941;20692357;23212905;23874968
HSF1,HSPA4,Activation,12813038;23349863;8114740;8455624
HSF1,HSPA4,Unknown,1508207;15777846;16554822;22940245;23264262
HSF1,IL1B,Repression,10328874
HSF1,TNF,Unknown,18689673
HSF2,HSPA4,Activation,12813038;8114740
HSF2,HSPA4,Unknown,1508207
ILF3,HLA-DRA,Repression,10079079
ILF3,HLA-DRA,Unknown,7651394
ING4,NGF,Repression,22078444
IRF4,FCER2,Activation,11342629
IRF5,TNF,Unknown,20237317
IRF8,IL1B,Activation,17386941
JUN,ABCB1,Activation,10369069
JUN,EDN1,Unknown,12208352
JUN,GSTP1,Unknown,8206948
JUN,IL1B,Unknown,11306276
JUN,IL6,Activation,20225236
JUN,IL6,Unknown,10542237;11120852
JUN,NGF,Unknown,2111020
JUN,NQO1,Unknown,11035254;8004128
JUN,SOD2,Unknown,15330761
JUN,TNF,Activation,10318823;10688670;10748079;10913190
JUN,TNF,Unknown,7896795;9566900
JUNB,IL1B,Unknown,11306276
JUNB,NQO1,Unknown,11035254
JUND,IL6,Activation,11337499
JUND,NQO1,Unknown,11035254
KHDRBS1,IGF2,Activation,12849008
KLF11,INS,Activation,18593768
KLF11,INS,Unknown,15774581;18199129;21592955
KLF3,HBG1,Unknown,12621553
KLF4,HSPA8,Activation,18379898
KLF4,IL1B,Repression,22449968
KLF4,IL6,Activation,23846700
KLF4,SOD1,Repression,23370975
KLF6,IGF1R,Unknown,15131018
LMO4,MTA1,Unknown,16288053
LRRFIP1,TNF,Repression,16199883
MAFA,INS,Unknown,16461554;21830322
MAFG,NQO1,Unknown,11013233
MAFK,NQO1,Unknown,11013233
MBD1,ABCB1,Unknown,17667922
MBD1,IGF2,Unknown,19666599
MBD2,GSTP1,Repression,11960994;12543808;19856314
MBD2,GSTP1,Unknown,11406558
MECP2,ABCB1,Unknown,11865062
MEF2A,PPARGC1A,Unknown,18222924
MITF,PPARGC1A,Activation,23416000
MSX2,SOD1,Activation,22824755
MTA1,ALOX15,Unknown,19198625
MTA1,ARNTL,Activation,24089055
MTA1,BCAS3,Activation,16617102
MTA1,BCL2L1,Activation,11948399
MTA1,BRCA1,Unknown,17922032
MTA1,CDH1,Repression,18719363;24424621
MTA1,CDKN2A,Activation,21555589
MTA1,EGFR,Activation,11948399
MTA1,EPHA2,Repression,22184117
MTA1,ESR1,Repression,24413532
MTA1,ESR1,Unknown,11146623
MTA1,HDAC1,Unknown,23791785
MTA1,ITGB3BP,Unknown,15254226
MTA1,MMP9,Unknown,12431981
MTA1,MNAT1,Unknown,12527756
MTA1,MTA3,Repression,18719363
MTA1,MYC,Unknown,12431981
MTA1,NOS2,Activation,20022949
MTA1,PTEN,Repression,22700976
MTA1,RNF144A,Repression,22184113
MTA1,SMAD7,Repression,22841502
MTA1,SNAI1,Activation,18719363
MTA1,SNAI2,Activation,18719363
MTA1,SUMO2,Activation,21965678
MTA1,TFF1,Unknown,12431981
MTF1,SOD1,Activation,15378601
MYB,GSTM1,Activation,14576818
MYC,HSPA4,Unknown,1562593
MYC,IL6,Unknown,19259613
MYC,TFAM,Unknown,15988031
MYCN,ABCB1,Repression,7923112
NEUROD1,INS,Unknown,10545951;16461554
NFAT5,TNF,Unknown,11485737
NFATC1,CYP2E1,Activation,20723539
NFE2L1,NQO1,Activation,11013233
NFE2L2,HMOX1,Activation,16551619;21982894;22484158
NFE2L2,HMOX1,Repression,22459801
NFE2L2,HMOX1,Unknown,17942419;24035498
NFE2L2,MTHFR,Activation,16551619
NFE2L2,NQO1,Activation,11013233
NFE2L2,NQO1,Repression,22459801
NFE2L2,NQO1,Unknown,11035254
NFE2L2,SOD1,Activation,22493435
NFE2L2,SOD2,Activation,22493435
NFIC,GFAP,Unknown,19540848
NFIC,HGF,Unknown,10860846
NFIL3,IL1B,Repression,8547328
NFKB1,ABCB1,Activation,19763573
NFKB1,ABCB1,Repression,12527911
NFKB1,ABCB1,Unknown,18234965
NFKB1,BST1,Unknown,9030974
NFKB1,CYP2E1,Unknown,19928584
NFKB1,DRD2,Unknown,17317773;18354387
NFKB1,EDN1,Unknown,21334436
NFKB1,FBP1,Unknown,11023824
NFKB1,GDNF,Unknown,9729303
NFKB1,GFAP,Activation,16516312
NFKB1,GFAP,Unknown,20471977
NFKB1,GSK3B,Unknown,11579131
NFKB1,GSTP1,Activation,15013838
NFKB1,HMOX1,Unknown,8016102
NFKB1,IL1B,Activation,12686724;14960579;8413223;8679226;9878621
NFKB1,IL1B,Unknown,10080875;10963848;16433741;17707233;18285351;20336759;9058643
NFKB1,IL6,Activation,10329846;10903137;11327783;11504280;12058956;12887736;14532843;15756023;16984731;17040605;17196927;18057724;18061164;18243142;18942706;18996370;19124729;19164127;20066113;22547075;7876168;8679226;8725624
NFKB1,IL6,Repression,15517885
NFKB1,IL6,Unknown,10823821;10963848;11120852;11975924;15158360;16112536;17490702;17532054;19469019;19707556;2405250;8752656;9516466
NFKB1,NOS1,Activation,17081374
NFKB1,SOD2,Activation,11880364;14515147;19507253
NFKB1,SOD2,Unknown,15330761;18779124
NFKB1,TNF,Activation,10079106;10748079;11749970;12058956;12686724;15013838;16707469;16916598;17407192;18057724;20066113;7876168;8219230;8679226
NFKB1,TNF,Unknown,10551799;10837498;10963848;11297551;14960579;15812247;16040075;16433741;17442180;17707233;18285351;20237317;9916895
NFKBIA,IL1B,Repression,15228586
NFYA,ABCB1,Unknown,18234965;22154511
NFYB,ABCB1,Unknown,18234965
NFYC,ABCB1,Unknown,18234965
NHLH2,MAOA,Activation,22169038
NKX3-1,IGF1R,Repression,22179513
NR0B1,NOS1,Activation,19726747
NR1H4,EDN1,Repression,16357303
NR1H4,INS,Activation,20060466
NR1I2,ABCB1,Activation,18540626
NR3C1,MAOA,Unknown,16728402
NR4A1,TNF,Repression,19213954
NR4A2,APOM,Unknown,17977826
NR4A2,CRH,Unknown,11315917
NR4A2,CXCL8,Unknown,19732956
NR4A2,MMP1,Repression,17283078
NR4A2,SLC6A3,Unknown,19494806
NRF1,NQO1,Unknown,11035254
OTX2,IL6,Activation,21047732
PARP1,HFE,Unknown,24184271
PAX4,INS,Repression,17426099
PAX4,INS,Unknown,10601637
PAX5,FCER2,Unknown,12731041
PDX1,INS,Activation,7568086
PDX1,INS,Unknown,10426567;10567373;10585868;20886630
PITX2,ABCB1,Unknown,23354914
PITX3,MIP,Activation,21698120
PITX3,TH,Activation,22223473
PLAG1,IGF2,Activation,10646861;11284386;11888928;14695992;14712223
PLAG1,IGF2,Unknown,23023303
PLAGL2,IGF2,Activation,11888928
POU2F1,HBG1,Repression,2336386
POU2F2,HLA-DRA,Unknown,7629508
POU3F2,DDC,Unknown,9602135
POU5F1,DDC,Unknown,9602135
PPARA,HMOX1,Unknown,17413033
PPARA,IL6,Unknown,15001458
PPARA,SOD2,Unknown,19958503
PPARD,SOD1,Activation,18048767
PPARG,HMOX1,Unknown,17413033
PPARGC1A,ALDOB,Activation,16891307
PPARGC1A,APOA5,Activation,16891307
PPARGC1A,APOC3,Activation,16891307
PPARGC1A,CYP2C9,Unknown,16882880
PPARGC1A,CYP7A1,Activation,16891307
PPARGC1A,MFN2,Activation,17828388
PPARGC1A,MLYCD,Unknown,16434556
PPARGC1A,OTC,Activation,16891307
PPARGC1A,PCK2,Activation,16891307
RARA,MAOB,Unknown,19401466
RB1,MAP3K5,Unknown,19610065
RBPJ,IL6,Activation,10329846
RBPJ,IL6,Unknown,9516466
REL,IL1B,Activation,8413223
REL,IL6,Repression,1372388
REL,SOD2,Activation,11880364
RELA,ABCB1,Activation,19763573
RELA,ABCB1,Unknown,18234965
RELA,CYP2E1,Unknown,19928584
RELA,DRD2,Unknown,17317773;18354387
RELA,EDN1,Unknown,21334436
RELA,FBP1,Unknown,11023824
RELA,GFAP,Activation,16516312
RELA,GFAP,Unknown,20471977
RELA,GSTP1,Activation,15013838
RELA,HMOX1,Unknown,8016102
RELA,IL1B,Activation,12686724;14960579;8021507;8413223;8679226;9878621
RELA,IL1B,Unknown,10080875;10963848;16433741;17707233;18285351;20336759;9058643
RELA,IL6,Activation,10329846;10903137;11327783;11504280;12058956;12887736;14532843;15756023;16984731;17040605;17196927;18057724;18061164;18243142;18942706;18996370;19124729;19164127;20066113;22547075;7499267;7876168;8679226
RELA,IL6,Repression,15517885
RELA,IL6,Unknown,10542237;10823821;10963848;11120852;11975924;15158360;16112536;17490702;17532054;19469019;19707556;19966855;20457835;8752656;9516466
RELA,NOS1,Activation,17081374
RELA,SOD2,Activation,11880364;14515147;19507253
RELA,SOD2,Unknown,15330761;18779124
RELA,TNF,Activation,10079106;10748079;11749970;12058956;12686724;15013838;16707469;16916598;17407192;18057724;20066113;7876168;8219230;8679226
RELA,TNF,Unknown,10551799;10837498;10963848;11297551;14960579;15812247;16040075;16433741;17442180;17707233;18285351;20237317;9916895
REST,BDNF,Repression,18075316;18518926
REST,TH,Activation,16764822
REST,TH,Repression,16764822
RFX1,HLA-DRA,Unknown,11889043
RFX5,HLA-DRA,Unknown,11258423
RFX5,HLA-DRB5,Unknown,11258423
RFXANK,HLA-DRA,Unknown,11258423
RFXANK,HLA-DRB5,Unknown,11258423
RFXAP,HLA-DRA,Unknown,11258423
RFXAP,HLA-DRB5,Unknown,11258423
SFPQ,ADARB2,Repression,24173718
SFPQ,TH,Unknown,16731528
SIM2,PRKN,Unknown,15963499
SIRT1,ABCB1,Activation,20713551
SIRT1,HSPA4,Unknown,23349863
SIRT1,IL1B,Unknown,21245135
SIRT1,NQO1,Repression,20623181
SIRT1,TNF,Unknown,21245135
SMAD7,HMOX1,Unknown,11018038
SP1,ABCB1,Activation,10644769;7565762
SP1,ABCB1,Unknown,10860921;8103518
SP1,FBP1,Unknown,11023824
SP1,GSTP1,Activation,8557630
SP1,HGF,Activation,9223667
SP1,IGF1R,Unknown,15345673
SP1,IGF2,Activation,11327698
SP1,IGF2,Unknown,10606246;11336542;9610618
SP1,IL6,Activation,18502099
SP1,INSR,Activation,1311316;16707431
SP1,INSR,Unknown,7983788
SP1,MAOB,Unknown,11259630;20980443
SP1,MTA1,Activation,21555589
SP1,NOS1,Unknown,12237165
SP1,SOD1,Activation,8921911;9867871
SP1,SOD1,Repression,11724400
SP1,SOD2,Repression,11853549
SP1,SOD2,Unknown,18779124;23500038
SP1,TH,Unknown,20124442
SP1,TNF,Activation,10688670;10913190
SP1,TNF,Repression,12759366
SP3,FBP1,Unknown,11023824
SP3,HGF,Activation,9223667
SP3,MAOB,Unknown,11259630
SP4,MAOB,Activation,11259630
SPI1,IL1B,Activation,17386941
SPI1,IL1B,Unknown,10801783
SPI1,TNF,Unknown,10748079
SREBF1,HMOX1,Unknown,17452746
SRY,TH,Unknown,20124442;22568433
STAT1,EDN1,Activation,20217138
STAT1,HMOX1,Activation,19129475
STAT1,IL1B,Activation,17386941
STAT1,IL6,Repression,18616672
STAT3,GFAP,Activation,21833841
STAT3,GFAP,Unknown,11740937
STAT3,HGF,Activation,12168776
STAT3,HGF,Unknown,23954444
STAT3,HMOX1,Activation,19129475
STAT3,HSPA4,Activation,19754877
STAT3,IL6,Activation,10391682;18765795;20930550;22547075;22927445
STAT3,IL6,Repression,18616672
STAT3,IL6,Unknown,22105366;22363173
STAT6,CYP2E1,Activation,20723539
STAT6,FCER2,Activation,9686563
SUGP1,IL1B,Activation,9878621
SUZ12,IGF2,Unknown,23962719
TBP,IL6,Repression,9209275
TCF3,INS,Unknown,10567574;9665477
TCF4,ABCB1,Activation,20459685
TCF4,CNTNAP2,Activation,22777675
TCF7L2,ABCB1,Unknown,10987283
TFAP2A,HGF,Repression,10860846
TFAP2A,HMOX1,Unknown,8016102
TFAP2A,SOD2,Unknown,23500038
TFAP2A,TH,Unknown,11146001
TFAP2B,DRD1,Unknown,10640692
TFAP2C,GPX1,Activation,22964634
TFCP2,GSK3B,Unknown,16973241
TP53,ABCB1,Repression,10029407
TP53,ABCB1,Unknown,18234965
TP53,GSTP1,Activation,18505928
TP53,IGF1R,Repression,12444079;17097318
TP53,IGF1R,Unknown,11001824;17600529
TP53,PPARGC1A,Unknown,19139068
UHRF1,ABCB1,Repression,20037778
USF1,FBP1,Unknown,11023824
USF1,HMOX1,Activation,15242350
USF2,FBP1,Unknown,11023824
USF2,HMOX1,Activation,15242350
USF2,IGF2R,Activation,12857727
VDR,DDIT4,Unknown,21123297
VDR,IL6,Repression,11050002
VHL,IGF1R,Repression,17486080;19509240
WT1,ABCB1,Unknown,10392899;10860921
WT1,IGF1R,Repression,10499530;12444079
WT1,IGF1R,Unknown,11001824;15345673
WT1,IGF2,Repression,1323141;7535092;8634146
WT1,IGF2,Unknown,10606246
XBP1,HSPA1A,Unknown,17404501
XBP1,IL6,Unknown,16931790
XBP1,SOD2,Unknown,17192397
YBX1,ABCB1,Activation,10644769
YBX1,ABCB1,Repression,17072343
YBX1,ABCB1,Unknown,18234965
YY1,HLA-DRA,Unknown,11533238;19252299
YY1,IL1B,Unknown,22467534
ZFP36,IL6,Repression,21656745
ZMYND11,IL6,Activation,19379743
ZNF143,TALDO1,Unknown,14702349
ZNF300,IL6,Activation,21777376
ZNF76,TALDO1,Unknown,14702349
ZNRD1,ABCB1,Activation,16373708
